CUSTNAME,REGION,PARTNUM,REVENUE,COST,MARGIN
CHIZ BROS INC,02-Central,734751200,8802.1,1724.7,7077.4
CHIZ BROS INC,02-Central,771320000,8519,1396.26,7122.74
CHIZ BROS INC,02-Central,770392000,8384,1318.81,7065.19
CHIZ BROS INC,02-Central,733151600,8312.4,1425.15,6887.25
CHIZ BROS INC,02-Central,764522000,8265,3410.29,4854.71
CHIZ BROS INC,02-Central,779952109,8224.5,3290.04,4934.46
CHIZ BROS INC,02-Central,770530000,8165,1588.85,6576.15
CHIZ BROS INC,02-Central,764524010,8096,4369.55,3726.45
CHIZ BROS INC,02-Central,739561100,8053.59,2199.06,5854.53
CHIZ BROS INC,02-Central,733403200,7730.8,1050.74,6680.06
CHIZ BROS INC,02-Central,733671000,7460.21,1161.03,6299.18
CHIZ BROS INC,02-Central,739541200,7351.04,2086.4,5264.64
CHIZ BROS INC,02-Central,780730000,7269.4,4570.41,2698.99
CHIZ BROS INC,02-Central,781630000,7236.72,4746.28,2490.44
CHIZ BROS INC,02-Central,770510000,7020,1102.38,5917.62
CHIZ BROS INC,02-Central,764561000,6676.5,1540.6,5135.9
CHIZ BROS INC,02-Central,738561000,6630.88,4777.92,1852.96
CHIZ BROS INC,02-Central,766081013,6450,3311.23,3138.77
CHIZ BROS INC,02-Central,779958865,6093,3510.58,2582.42
CHIZ BROS INC,02-Central,785890000,5943.36,4715.44,1227.92
CHIZ BROS INC,02-Central,768112000,5846.4,1454.9,4391.5
CHIZ BROS INC,02-Central,782060000,5481.23,2491.4,2989.83
CHIZ BROS INC,02-Central,764821073,5478.2,6269.4,-791.2
CHIZ BROS INC,02-Central,764821027,5440,2748.1,2691.9
CHIZ BROS INC,02-Central,764261000,5316,1373.61,3942.39
CHIZ BROS INC,02-Central,795210000,5230.08,1850.32,3379.76
CHIZ BROS INC,02-Central,739741100,5161.76,3577.55,1584.21
CHIZ BROS INC,02-Central,770210000,4986,778.43,4207.57
CHIZ BROS INC,02-Central,770710000,4952,134.52,4817.48
CHIZ BROS INC,02-Central,764952010,4928,2365.61,2562.39
CHIZ BROS INC,02-Central,777903100,4901.86,1946.28,2955.58
CHIZ BROS INC,02-Central,734851000,4602.24,1186.82,3415.42
CHIZ BROS INC,02-Central,779958676,4551.12,2412.03,2139.09
CHIZ BROS INC,02-Central,770520000,4537.5,444.35,4093.15
CHIZ BROS INC,02-Central,779958247,4513.6,2780.6,1733
CHIZ BROS INC,02-Central,764341000,4492,1605.45,2886.55
CHIZ BROS INC,02-Central,770220000,4470,503.15,3966.85
CHIZ BROS INC,02-Central,782020000,4390.04,1996.84,2393.2
CHIZ BROS INC,02-Central,733423800,4288,767.33,3520.67
CHIZ BROS INC,02-Central,768131000,4272.85,1344.47,2928.38
CHIZ BROS INC,02-Central,777730600,4194,1276.2,2917.8
CHIZ BROS INC,02-Central,779957955,3987.72,2538.39,1449.33
CHIZ BROS INC,02-Central,764824000,3900,1896.72,2003.28
CHIZ BROS INC,02-Central,733403300,3863.2,490.18,3373.02
CHIZ BROS INC,02-Central,770202000,3645,911.4,2733.6
CHIZ BROS INC,02-Central,784400000,3643.2,2180,1463.2
CHIZ BROS INC,02-Central,740063000,3617.03,1071.46,2545.57
CHIZ BROS INC,02-Central,793550000,3570,841.18,2728.82
CHIZ BROS INC,02-Central,764902000,3380,638.54,2741.46
CHIZ BROS INC,02-Central,766261000,3310,1563.83,1746.17
CHIZ BROS INC,02-Central,779958862,3308.4,1876.3,1432.1
CHIZ BROS INC,02-Central,765661000,3200,1287.1,1912.9
CHIZ BROS INC,02-Central,779987564,3174.08,1033.36,2140.72
CHIZ BROS INC,02-Central,740142500,3147.84,2360.45,787.39
CHIZ BROS INC,02-Central,741061000,3142.82,143.71,2999.11
CHIZ BROS INC,02-Central,770522000,3094,710.36,2383.64
CHIZ BROS INC,02-Central,766122000,2952,1035.45,1916.55
CHIZ BROS INC,02-Central,742491700,2929.88,1812.66,1117.22
CHIZ BROS INC,02-Central,733444300,2845.2,570.67,2274.53
CHIZ BROS INC,02-Central,770540000,2719.5,628.6,2090.9
CHIZ BROS INC,02-Central,777902700,2597.49,1141.55,1455.94
CHIZ BROS INC,02-Central,779959183,2585.88,1801.8,784.08
CHIZ BROS INC,02-Central,771120000,2529.6,105.38,2424.22
CHIZ BROS INC,02-Central,751165000,2515.78,1509.46,1006.32
CHIZ BROS INC,02-Central,764482000,2509.2,626.48,1882.72
CHIZ BROS INC,02-Central,779958863,2345.2,1282.68,1062.52
CHIZ BROS INC,02-Central,779952104,2289.15,1030.11,1259.04
CHIZ BROS INC,02-Central,737301000,2287.36,490.72,1796.64
CHIZ BROS INC,02-Central,742548000,2275,284.2,1990.8
CHIZ BROS INC,02-Central,793336074,2241,1269.57,971.43
CHIZ BROS INC,02-Central,766231000,2100,719.9,1380.1
CHIZ BROS INC,02-Central,780760000,2091.6,411.27,1680.33
CHIZ BROS INC,02-Central,779261000,2010.54,560.02,1450.52
CHIZ BROS INC,02-Central,739561000,1960.27,602.39,1357.88
CHIZ BROS INC,02-Central,770300000,1955.25,226.02,1729.23
CHIZ BROS INC,02-Central,779988833,1925.42,859.3,1066.12
CHIZ BROS INC,02-Central,779959180,1829.96,1222.49,607.47
CHIZ BROS INC,02-Central,768141000,1725,405.21,1319.79
CHIZ BROS INC,02-Central,770212000,1716,468.45,1247.55
CHIZ BROS INC,02-Central,780680000,1671.12,427.81,1243.31
CHIZ BROS INC,02-Central,764761000,1660,720.18,939.82
CHIZ BROS INC,02-Central,734861000,1485.4,611.14,874.26
CHIZ BROS INC,02-Central,733721000,1470,452.45,1017.55
CHIZ BROS INC,02-Central,771132000,1459.4,71.6,1387.8
CHIZ BROS INC,02-Central,779957171,1414.8,1197.99,216.81
CHIZ BROS INC,02-Central,737211000,1336.39,289.24,1047.15
CHIZ BROS INC,02-Central,770140000,1309.72,138.91,1170.81
CHIZ BROS INC,02-Central,740283502,1302.4,193.64,1108.76
CHIZ BROS INC,02-Central,733464500,1236,195.16,1040.84
CHIZ BROS INC,02-Central,770600000,1231.02,271.26,959.76
CHIZ BROS INC,02-Central,764562000,1161.3,257.01,904.29
CHIZ BROS INC,02-Central,777642000,1153.05,360.61,792.44
CHIZ BROS INC,02-Central,754285000,1145.2,498.79,646.41
CHIZ BROS INC,02-Central,781800000,1124.82,596.25,528.57
CHIZ BROS INC,02-Central,733444200,1087,181.35,905.65
CHIZ BROS INC,02-Central,739370000,1086.4,967.68,118.72
CHIZ BROS INC,02-Central,763991000,1072.8,275.16,797.64
CHIZ BROS INC,02-Central,780690000,1032.72,254.51,778.21
CHIZ BROS INC,02-Central,770380000,1016.4,183.87,832.53
CHIZ BROS INC,02-Central,754265000,1012.2,465.21,546.99
CHIZ BROS INC,02-Central,738521000,962.72,717.26,245.46
CHIZ BROS INC,02-Central,793346074,924,518.98,405.02
CHIZ BROS INC,02-Central,734900000,891.48,343.64,547.84
CHIZ BROS INC,02-Central,734651200,872.65,147,725.65
CHIZ BROS INC,02-Central,738401000,828.9,642.24,186.66
CHIZ BROS INC,02-Central,779958864,799.5,529.02,270.48
CHIZ BROS INC,02-Central,734890000,793.73,198.96,594.77
CHIZ BROS INC,02-Central,726020005,745.12,167.16,577.96
CHIZ BROS INC,02-Central,779989944,743.8,678.5,65.3
CHIZ BROS INC,02-Central,779221000,743.66,209.48,534.18
CHIZ BROS INC,02-Central,741620310,732,145.82,586.18
CHIZ BROS INC,02-Central,767970010,716.5,5.56,710.94
CHIZ BROS INC,02-Central,792702000,710,193.2,516.8
CHIZ BROS INC,02-Central,741640310,708,131.71,576.29
CHIZ BROS INC,02-Central,724311200,697.9,154.28,543.62
CHIZ BROS INC,02-Central,734711100,672.21,135.55,536.66
CHIZ BROS INC,02-Central,792650000,656,228.7,427.3
CHIZ BROS INC,02-Central,770580000,652,169.46,482.54
CHIZ BROS INC,02-Central,793320074,635,321.38,313.62
CHIZ BROS INC,02-Central,779959182,623.9,507.37,116.53
CHIZ BROS INC,02-Central,727000440,614.4,121.92,492.48
CHIZ BROS INC,02-Central,770620100,585,55.28,529.72
CHIZ BROS INC,02-Central,764762000,577.6,252.56,325.04
CHIZ BROS INC,02-Central,777650000,535.2,285.32,249.88
CHIZ BROS INC,02-Central,777671000,526.4,460.5,65.9
CHIZ BROS INC,02-Central,734830000,525,90.82,434.18
CHIZ BROS INC,02-Central,739290000,524.16,215.31,308.85
CHIZ BROS INC,02-Central,741001000,522.73,87.94,434.79
CHIZ BROS INC,02-Central,779989946,496.8,480.9,15.9
CHIZ BROS INC,02-Central,780501000,494.4,232.71,261.69
CHIZ BROS INC,02-Central,779959804,488.25,428.95,59.3
CHIZ BROS INC,02-Central,779989945,472.9,461.7,11.2
CHIZ BROS INC,02-Central,733505300,465,77.58,387.42
CHIZ BROS INC,02-Central,740123000,427.14,121.37,305.77
CHIZ BROS INC,02-Central,779959204,407.58,199.73,207.85
CHIZ BROS INC,02-Central,754067000,397.08,125.08,272
CHIZ BROS INC,02-Central,734121000,372,83.56,288.44
CHIZ BROS INC,02-Central,792654000,341,129.68,211.32
CHIZ BROS INC,02-Central,776131000,340.2,252.08,88.12
CHIZ BROS INC,02-Central,779001000,338.94,84.71,254.23
CHIZ BROS INC,02-Central,739541000,311.04,71.62,239.42
CHIZ BROS INC,02-Central,779957933,285.93,216.6,69.33
CHIZ BROS INC,02-Central,779987255,201.6,92.7,108.9
CHIZ BROS INC,02-Central,776101000,131.4,70.8,60.6
CHIZ BROS INC,02-Central,734611100,131.3,26.96,104.34
CHIZ BROS INC,02-Central,780330000,129.45,35.9,93.55
CHIZ BROS INC,02-Central,779181000,69.87,21.45,48.42
CHIZ BROS INC,02-Central,773591000,44.1,13.41,30.69
CHIZ BROS INC,02-Central,779986450,10.8,2.77,8.03
CHRISTY CATALYTICS LLC,01-East,734830000,246,44.64,201.36
CHRISTY CATALYTICS LLC,02-Central,777904301,259.18,117.47,141.71
CHRISTY CATALYTICS LLC,02-Central,734830000,246,44.64,201.36
CHRISTY INDUSTRIAL SERVIC,01-East,765661000,41532,13318.44,28213.56
CHRISTY INDUSTRIAL SERVIC,01-East,770330000,21974,3034.6,18939.4
CHRISTY INDUSTRIAL SERVIC,01-East,780770000,18746.7,5877.3,12869.4
CHRISTY INDUSTRIAL SERVIC,01-East,727041000,12000,1187.73,10812.27
CHRISTY INDUSTRIAL SERVIC,01-East,734990000,7746.24,1978.12,5768.12
CHRISTY INDUSTRIAL SERVIC,01-East,764821000,6360,3071.59,3288.41
CHRISTY INDUSTRIAL SERVIC,01-East,780290000,6127.2,3495.24,2631.96
CHRISTY INDUSTRIAL SERVIC,01-East,780650000,5207.8,2322.56,2885.24
CHRISTY INDUSTRIAL SERVIC,01-East,780720000,3963.6,1115.32,2848.28
CHRISTY INDUSTRIAL SERVIC,01-East,765651000,3840,1311.9,2528.1
CHRISTY INDUSTRIAL SERVIC,01-East,754087000,2704,1810.42,893.58
CHRISTY INDUSTRIAL SERVIC,01-East,779957722,2676,1781.98,894.02
CHRISTY INDUSTRIAL SERVIC,01-East,754085000,2449.2,1492.72,956.48
CHRISTY INDUSTRIAL SERVIC,01-East,777642000,1722,475.05,1246.95
CHRISTY INDUSTRIAL SERVIC,01-East,733211000,1685.4,343.36,1342.04
CHRISTY INDUSTRIAL SERVIC,01-East,764781000,1590,1022.26,567.74
CHRISTY INDUSTRIAL SERVIC,01-East,737311000,1284.96,273.31,1011.65
CHRISTY INDUSTRIAL SERVIC,01-East,734810000,938,750.51,187.49
CHRISTY INDUSTRIAL SERVIC,01-East,766081010,868,145.46,722.54
CHRISTY INDUSTRIAL SERVIC,01-East,738561000,755.52,372.41,383.11
CHRISTY INDUSTRIAL SERVIC,01-East,764785000,530,146.72,383.28
CHRISTY INDUSTRIAL SERVIC,01-East,777650000,356.6,285.32,71.28
CHRISTY INDUSTRIAL SERVIC,01-East,780690000,354.96,127.26,227.7
CHRISTY INDUSTRIAL SERVIC,01-East,764761000,204,61.43,142.57
CHRISTY INDUSTRIAL SERVIC,01-East,767990000,160.5,58.98,101.52
CHRISTY INDUSTRIAL SERVIC,01-East,766121000,95.8,54.5,41.3
CHRISTY INDUSTRIAL SERVIC,01-East,779987255,56,23.18,32.82
CHRISTY INDUSTRIAL SERVIC,02-Central,780650000,6874.88,2379.87,4495.01
CHRISTY INDUSTRIAL SERVIC,02-Central,781500000,5951.88,961.64,4990.24
CHRISTY INDUSTRIAL SERVIC,02-Central,754924014,3840,2300.72,1539.28
CHRISTY INDUSTRIAL SERVIC,02-Central,718501000,3075,808.14,2266.86
CHRISTY INDUSTRIAL SERVIC,02-Central,765661000,2304,763.56,1540.44
CHRISTY INDUSTRIAL SERVIC,02-Central,754864023,1724.8,915.78,809.02
CHRISTY INDUSTRIAL SERVIC,02-Central,754327000,1020.96,416.1,604.86
CHRISTY INDUSTRIAL SERVIC,02-Central,754864020,915.6,392.48,523.12
CHRISTY INDUSTRIAL SERVIC,02-Central,739761100,853.92,361.97,491.95
CHRISTY REFRACTORIES CO,01-East,764764010,87014.4,54086.18,32928.22
CHRISTY REFRACTORIES CO,01-East,727000060,77036,25833.63,51202.37
CHRISTY REFRACTORIES CO,01-East,720474000,76366.25,12958.7,63407.55
CHRISTY REFRACTORIES CO,01-East,733182300,61281.84,31628.98,29652.86
CHRISTY REFRACTORIES CO,01-East,764030000,54407.2,28111.03,26296.17
CHRISTY REFRACTORIES CO,01-East,730552560,37535,5813.35,31721.65
CHRISTY REFRACTORIES CO,01-East,764264056,35322,24085.99,11236.01
CHRISTY REFRACTORIES CO,01-East,764301000,32951.9,19151.41,13800.49
CHRISTY REFRACTORIES CO,01-East,777750074,32766.72,27531,5235.72
CHRISTY REFRACTORIES CO,01-East,764901000,32424.3,17324.77,15099.53
CHRISTY REFRACTORIES CO,01-East,764821000,29179,13658.64,15520.36
CHRISTY REFRACTORIES CO,01-East,739741100,28341.51,16475.47,11866.04
CHRISTY REFRACTORIES CO,01-East,733481000,28140,14458.84,13681.16
CHRISTY REFRACTORIES CO,01-East,764865100,24444,14164.82,10279.18
CHRISTY REFRACTORIES CO,01-East,777780074,20694.8,16416.4,4278.4
CHRISTY REFRACTORIES CO,01-East,738521000,20080.78,16796.48,3284.3
CHRISTY REFRACTORIES CO,01-East,734211200,12406.61,1721.98,10684.63
CHRISTY REFRACTORIES CO,01-East,734990000,12375.36,3305.15,9070.21
CHRISTY REFRACTORIES CO,01-East,734000000,11820.6,1517.87,10302.73
CHRISTY REFRACTORIES CO,01-East,734173000,11627.35,3161.64,8465.71
CHRISTY REFRACTORIES CO,01-East,766261020,10584,6168.11,4415.89
CHRISTY REFRACTORIES CO,01-East,770220000,9849,916.61,8932.39
CHRISTY REFRACTORIES CO,01-East,733182390,9801.15,4095.04,5706.11
CHRISTY REFRACTORIES CO,01-East,733505300,9480,1612.13,7867.87
CHRISTY REFRACTORIES CO,01-East,733721000,9028.8,2825.41,6203.39
CHRISTY REFRACTORIES CO,01-East,732429400,8688.5,997.2,7691.3
CHRISTY REFRACTORIES CO,01-East,770560000,8373.2,692.13,7681.07
CHRISTY REFRACTORIES CO,01-East,764340523,7978.5,8074.53,-96.03
CHRISTY REFRACTORIES CO,01-East,764481000,7457.1,2826.95,4630.15
CHRISTY REFRACTORIES CO,01-East,771500000,7112.48,516.02,6596.46
CHRISTY REFRACTORIES CO,01-East,777601000,6896.9,2040.14,4856.76
CHRISTY REFRACTORIES CO,01-East,733182380,6706.05,2801.85,3904.2
CHRISTY REFRACTORIES CO,01-East,733202000,5394.48,3127.98,2266.5
CHRISTY REFRACTORIES CO,01-East,764822000,5394.4,1558.28,3836.12
CHRISTY REFRACTORIES CO,01-East,727000025,5338.5,2502.95,2835.55
CHRISTY REFRACTORIES CO,01-East,733464500,5305.5,812.07,4493.43
CHRISTY REFRACTORIES CO,01-East,734162000,5286.93,2252.97,3033.96
CHRISTY REFRACTORIES CO,01-East,754925000,5168.4,1163.38,4005.02
CHRISTY REFRACTORIES CO,01-East,777750073,5019.58,2039.9,2979.68
CHRISTY REFRACTORIES CO,01-East,764561000,4743.5,3489.38,1254.12
CHRISTY REFRACTORIES CO,01-East,764781000,4439,2680.51,1758.49
CHRISTY REFRACTORIES CO,01-East,768241000,4429,900.79,3528.21
CHRISTY REFRACTORIES CO,01-East,734311100,4371.75,515.14,3856.61
CHRISTY REFRACTORIES CO,01-East,764601000,4324.8,2816.66,1508.14
CHRISTY REFRACTORIES CO,01-East,764341000,4213.7,3133.22,1080.48
CHRISTY REFRACTORIES CO,01-East,766162000,3949,570.34,3378.66
CHRISTY REFRACTORIES CO,01-East,777780073,3789.2,1618.09,2171.11
CHRISTY REFRACTORIES CO,01-East,733525500,3247.5,476.67,2770.83
CHRISTY REFRACTORIES CO,01-East,782070000,3241.44,1654.68,1586.76
CHRISTY REFRACTORIES CO,01-East,764261000,2907.8,1186.32,1721.48
CHRISTY REFRACTORIES CO,01-East,766121000,2765.6,403,2362.6
CHRISTY REFRACTORIES CO,01-East,764821161,2680,2976,-296
CHRISTY REFRACTORIES CO,01-East,733383000,2593.8,491.79,2102.01
CHRISTY REFRACTORIES CO,01-East,768242007,2528,1017.2,1510.8
CHRISTY REFRACTORIES CO,01-East,733211000,2513,532.04,1980.96
CHRISTY REFRACTORIES CO,01-East,764521000,2504,1327.1,1176.9
CHRISTY REFRACTORIES CO,01-East,733151600,2317.6,399.03,1918.57
CHRISTY REFRACTORIES CO,01-East,764461006,2236,1465.52,770.48
CHRISTY REFRACTORIES CO,01-East,740123000,2226,640.05,1585.95
CHRISTY REFRACTORIES CO,01-East,739561100,2157.79,653.24,1504.55
CHRISTY REFRACTORIES CO,01-East,779959904,2125.44,1410.7,714.74
CHRISTY REFRACTORIES CO,01-East,770240000,1946.25,202.89,1743.36
CHRISTY REFRACTORIES CO,01-East,739561200,1804.28,596,1208.28
CHRISTY REFRACTORIES CO,01-East,740382201,1800,594.28,1205.72
CHRISTY REFRACTORIES CO,01-East,768121000,1749.6,351.09,1398.51
CHRISTY REFRACTORIES CO,01-East,768231400,1746,958.78,787.22
CHRISTY REFRACTORIES CO,01-East,777730022,1729.98,1380.96,349.02
CHRISTY REFRACTORIES CO,01-East,770200000,1629,168.02,1460.98
CHRISTY REFRACTORIES CO,01-East,764761000,1530.8,821.49,709.31
CHRISTY REFRACTORIES CO,01-East,764487500,1480,757.91,722.09
CHRISTY REFRACTORIES CO,01-East,734151100,1285.86,301.83,984.03
CHRISTY REFRACTORIES CO,01-East,740382150,1254.96,548.62,706.34
CHRISTY REFRACTORIES CO,01-East,764523010,1139.8,923.51,216.29
CHRISTY REFRACTORIES CO,01-East,734132000,1109.6,313.31,796.29
CHRISTY REFRACTORIES CO,01-East,737311000,990.24,273.31,716.93
CHRISTY REFRACTORIES CO,01-East,764529600,864,368.44,495.56
CHRISTY REFRACTORIES CO,01-East,733444200,852,142.71,709.29
CHRISTY REFRACTORIES CO,01-East,777642000,850.4,253.37,597.03
CHRISTY REFRACTORIES CO,01-East,733211050,816,397.57,418.43
CHRISTY REFRACTORIES CO,01-East,764342000,800.4,209.07,591.33
CHRISTY REFRACTORIES CO,01-East,738542000,792,574.08,217.92
CHRISTY REFRACTORIES CO,01-East,764523504,771,586.35,184.65
CHRISTY REFRACTORIES CO,01-East,755125000,721.02,149.32,571.7
CHRISTY REFRACTORIES CO,01-East,739641100,695.19,412.29,282.9
CHRISTY REFRACTORIES CO,01-East,720455000,693.6,94.87,598.73
CHRISTY REFRACTORIES CO,01-East,770230000,693,73.92,619.08
CHRISTY REFRACTORIES CO,01-East,768221000,672,210.63,461.37
CHRISTY REFRACTORIES CO,01-East,764262000,656,446.16,209.84
CHRISTY REFRACTORIES CO,01-East,770300000,649,70.74,578.26
CHRISTY REFRACTORIES CO,01-East,770392000,445.4,41.51,403.89
CHRISTY REFRACTORIES CO,01-East,733725500,410.4,103.52,306.88
CHRISTY REFRACTORIES CO,01-East,724121700,352,162.85,189.15
CHRISTY REFRACTORIES CO,01-East,766122000,344,57.52,286.48
CHRISTY REFRACTORIES CO,01-East,768122000,293.4,58.22,235.18
CHRISTY REFRACTORIES CO,01-East,764482000,268,68.2,199.8
CHRISTY REFRACTORIES CO,01-East,727063000,261.6,33.59,228.01
CHRISTY REFRACTORIES CO,01-East,764526610,225.75,168.15,57.6
CHRISTY REFRACTORIES CO,01-East,734711100,203.51,40.72,162.79
CHRISTY REFRACTORIES CO,01-East,733444300,195,46.17,148.83
CHRISTY REFRACTORIES CO,01-East,775201000,179.6,130.63,48.97
CHRISTY REFRACTORIES CO,01-East,773591000,88.56,26.53,62.03
CHRISTY REFRACTORIES CO,01-East,774981100,78.73,35.92,42.81
CHRISTY REFRACTORIES CO,02-Central,768242007,194216,75633.28,118582.72
CHRISTY REFRACTORIES CO,02-Central,766261020,160372,93950.99,66421.01
CHRISTY REFRACTORIES CO,02-Central,734990000,58344,10782.04,47561.96
CHRISTY REFRACTORIES CO,02-Central,764529600,48400,20108.26,28291.74
CHRISTY REFRACTORIES CO,02-Central,733505300,47145,8132.54,39012.46
CHRISTY REFRACTORIES CO,02-Central,733721000,12121.2,2966.63,9154.57
CHRISTY REFRACTORIES CO,02-Central,740382150,9979.56,4150.89,5828.67
CHRISTY REFRACTORIES CO,02-Central,737912200,9197,3440.23,5756.77
CHRISTY REFRACTORIES CO,02-Central,770570000,5444.85,477.03,4967.82
CHRISTY REFRACTORIES CO,02-Central,734151100,4714.82,992.12,3722.7
CHRISTY REFRACTORIES CO,02-Central,770220000,4458,414.56,4043.44
CHRISTY REFRACTORIES CO,02-Central,734173000,4295,1169.08,3125.92
CHRISTY REFRACTORIES CO,02-Central,768132210,3800,1318.32,2481.68
CHRISTY REFRACTORIES CO,02-Central,733444200,3621,589.72,3031.28
CHRISTY REFRACTORIES CO,02-Central,735602000,2990,966.66,2023.34
CHRISTY REFRACTORIES CO,02-Central,764342000,2736,2246.52,489.48
CHRISTY REFRACTORIES CO,02-Central,733383000,2688.4,456.38,2232.02
CHRISTY REFRACTORIES CO,02-Central,770240000,2685,278.62,2406.38
CHRISTY REFRACTORIES CO,02-Central,770260000,2025,210.99,1814.01
CHRISTY REFRACTORIES CO,02-Central,770200000,1998,208.81,1789.19
CHRISTY REFRACTORIES CO,02-Central,740382101,1882.44,758.49,1123.95
CHRISTY REFRACTORIES CO,02-Central,734162000,1333.64,563.87,769.77
CHRISTY REFRACTORIES CO,02-Central,770245000,1146.79,259.92,886.87
CHRISTY REFRACTORIES CO,02-Central,774401000,1075.5,339.36,736.14
CHRISTY REFRACTORIES CO,02-Central,733211000,753.9,159.61,594.29
CHRISTY REFRACTORIES CO,02-Central,770300000,668.25,75.34,592.91
CHRISTY REFRACTORIES CO,02-Central,733151600,621.2,106.23,514.97
CHRISTY REFRACTORIES CO,02-Central,774311000,621,377.43,243.57
CHRISTY REFRACTORIES CO,02-Central,733211050,478.6,99.39,379.21
CHRISTY REFRACTORIES CO,02-Central,733141300,324,69.73,254.27
CHRISTY REFRACTORIES CO,02-Central,737902100,287,67.12,219.88
CHRISTY REFRACTORIES CO,02-Central,770210000,285,31.52,253.48
CHRISTY REFRACTORIES CO,02-Central,734751200,269,74.78,194.22
CHRISTY REFRACTORIES CO,02-Central,734711100,262.58,54.1,208.48
CHRISTY REFRACTORIES CO,02-Central,764482000,172.8,34.1,138.7
CIMINI & ASSOCIATES,01-East,764261000,3460,183.76,3276.24
CLAUDIUS PETERS,01-East,724003000,2434,295.77,2138.23
CLAYBURN REFRACTORIES LTD,07-Canada Direct,779958209,26785.3,6696.46,20088.84
CLEMSON UNIVERSITY,02-Central,788200010,200.43,35.27,165.16
CLIMATECH,01-East,733572750,193129.11,135159.39,57969.72
CLIMATECH,01-East,733572800,142823.27,110203.93,32619.34
CLIMATECH,01-East,733572600,48260.16,35261.01,12999.15
CLIMATECH,01-East,733572900,13847.04,9975.45,3871.59
CLINTON POTTERY,01-East,764821000,430,15.36,414.64
CLYDE BERGEMANN BACHMANN,01-East,768241000,47480.5,23217.78,24262.72
CLYDE BERGEMANN BACHMANN,01-East,733725500,10216,2235.97,7980.03
CLYDE BERGEMANN BACHMANN,01-East,768221000,8053,3863.7,4189.3
CLYDE BERGEMANN BACHMANN,01-East,734751200,6891.9,2329.58,4562.32
CLYDE BERGEMANN BACHMANN,01-East,734761300,2126.3,758.78,1367.52
CLYDE BERGEMANN BACHMANN,01-East,734651200,889.2,293.98,595.22
CLYDE BERGEMANN BACHMANN,01-East,734711100,817.12,270.8,546.32
CLYDE BERGEMANN BACHMANN,01-East,768222000,643.5,322.2,321.3
CLYDE BERGEMANN BACHMANN,01-East,768242000,572,353.28,218.72
CLYDE BERGEMANN BACHMANN,01-East,734611100,85.08,40.44,44.64
CLYDE BERGEMANN BACHMANN,9x-Export,734761300,9568.35,3414.51,6153.84
COASTAL IGNITION &,01-East,733151600,450,46.64,403.36
CODY SALES & SERVICE,01-East,737912200,326.5,45.47,281.03
COLORADO STATE UNIVERSITY,01-East,764483000,421,89.22,331.78
COLORADO STATE UNIVERSITY,01-East,764481000,346,16.94,329.06
COLUMBIA HELICOPTER,01-East,734351200,1945.8,147.24,1798.56
COLUMBIA HELICOPTER,01-East,770830000,1061,35.87,1025.13
COLUMBIA HELICOPTER,01-East,764521000,666,26.54,639.46
COLUMBIA MANUFACTURING IN,01-East,734121000,455,83.36,371.64
COLUMBIA MANUFACTURING IN,01-East,734132000,422,78.33,343.67
COLUMBUS RUBBER & GASKET,02-Central,733211000,1391,147.98,1243.02
COMMERCIAL HEATING SUPPLY,01-East,739561100,1658.16,279.96,1378.2
COMPANIA NACIONAL,01-East,764821029,121817.1,34700.01,87117.09
COMPANIA NACIONAL,01-East,727000140,51075.36,9144.99,41930.37
COMPANIA NACIONAL,01-East,764821000,27328,6880.38,20447.62
COMPANIA NACIONAL,01-East,733151500,23664,5649.4,18014.6
COMPANIA NACIONAL,01-East,764821027,22300,6375.74,15924.26
COMPANIA NACIONAL,01-East,734000000,22186.5,3187.33,18999.17
COMPANIA NACIONAL,01-East,770222000,13738.75,2151.1,11587.65
COMPANIA NACIONAL,01-East,770560000,12240,1721.79,10518.21
COMPANIA NACIONAL,01-East,733444300,8870,2720.87,6149.13
COMPANIA NACIONAL,01-East,764901000,6882.75,1840.4,5042.35
COMPANIA NACIONAL,01-East,770220000,5595,885.98,4709.02
COMPANIA NACIONAL,01-East,733151600,4140,932.84,3207.16
COMPANIA NACIONAL,01-East,770260000,3780,676.28,3103.72
COMPANIA NACIONAL,01-East,770202000,3442.5,607.59,2834.91
COMPANIA NACIONAL,01-East,733525500,3200,703.94,2496.06
COMPANIA NACIONAL,01-East,764521000,2784,851.02,1932.98
COMPANIA NACIONAL,01-East,733211000,2416.5,728.27,1688.23
COMPANIA NACIONAL,01-East,764521020,1740,557.56,1182.44
COMPANIA NACIONAL,01-East,766121040,1230,279.13,950.87
COMPANIA NACIONAL,01-East,770212000,877.5,162.38,715.12
COMPANIA NACIONAL,01-East,770240000,798.75,140.66,658.09
COMPLIANCE INSPECTION,01-East,768133000,162.25,11.04,151.21
COMPOSITE USA,02-Central,733510000,565,79.51,485.49
COMPOSITE USA,02-Central,734211200,243.46,23.38,220.08
CONDO ELECTRIC INDUSTRIAL,02-Central,733141300,496,69.73,426.27
CONDO ELECTRIC INDUSTRIAL,02-Central,733151600,450,46.64,403.36
CONSOLIDATED FABRICATORS,01-East,768241000,3700,2193.63,1506.37
CONSOLIDATED FABRICATORS,01-East,768231000,2494,1331.79,1162.21
CONSOLIDATED METAL PRODUC,02-Central,740361701,579.6,318.65,260.95
CONSTRUCTION SPECIALTIES,01-East,737016200,346350.65,84901.39,261449.26
